matrix,n,density_pct,A_nnz,C_nnz_flop,merge3_ms,hash_ms,ratio
bcsstm26,1922,0.1041,3844,7688.0,0.09,0.16499999999999998,1.8333333333333333
bcsstm27,1224,3.828,57350,2687109.885620915,0.345,0.357,1.0347826086956522
blckhole,2132,0.3741,17004,135617.26829268291,0.153,0.215,1.4052287581699348
bp_0,822,0.4848,3276,13056.175182481751,0.542,0.27499999999999997,0.5073800738007379
bp_1000,822,0.6898,4661,26429.344282238442,0.626,0.32299999999999995,0.5159744408945686
bp_1200,822,0.6994,4726,27171.625304136254,0.608,0.32399999999999995,0.5328947368421052
bp_1400,822,0.7089,4790,27912.530413625303,0.594,0.32799999999999996,0.5521885521885521
bp_1600,822,0.7165,4841,28510.07420924574,0.592,0.33099999999999996,0.5591216216216216
bp_200,822,0.5627,3802,17585.406326034063,0.567,0.27999999999999997,0.49382716049382713
bp_400,822,0.5961,4028,19738.1800486618,0.618,0.306,0.49514563106796117
bp_600,822,0.6174,4172,21174.676399026765,0.627,0.299,0.4768740031897926
bp_800,822,0.671,4534,25008.705596107055,0.632,0.309,0.4889240506329114
can_1054,1054,1.1927,13250,166567.8368121442,0.156,0.191,1.2243589743589745
can_1072,1072,1.1761,13516,170412.55223880598,0.162,0.207,1.2777777777777777
can_144,144,6.9444,1440,14400.0,0.1,0.16599999999999998,1.6599999999999997
can_161,161,5.9334,1538,14692.198757763976,0.104,0.16499999999999998,1.5865384615384615
can_187,187,4.7985,1678,15057.133689839573,0.09,0.175,1.9444444444444444
can_229,229,3.8253,2006,17572.2096069869,0.125,0.206,1.648
can_24,24,31.9444,184,1410.6666666666667,0.08,0.16999999999999998,2.1249999999999996
can_256,256,4.8401,3172,39303.0625,0.19,0.23199999999999998,1.2210526315789472
can_268,268,4.6642,3350,41875.0,0.131,0.174,1.32824427480916
can_292,292,3.3214,2832,27466.520547945205,0.123,0.183,1.4878048780487805
can_445,445,2.1482,4254,40666.32808988764,0.107,0.16299999999999998,1.5233644859813082
can_61,61,16.6084,618,6261.049180327869,0.091,0.16999999999999998,1.868131868131868
can_62,62,7.2841,280,1264.516129032258,0.1,0.16699999999999998,1.6699999999999997
can_634,634,1.9559,7862,97493.76025236593,0.13,0.196,1.5076923076923077
can_715,715,1.4436,7380,76173.98601398601,0.344,0.215,0.625
can_73,73,8.4444,450,2773.972602739726,0.092,0.16999999999999998,1.8478260869565215
can_838,838,1.5448,10848,140428.52505966587,0.136,0.178,1.3088235294117645
can_96,96,9.375,864,7776.0,0.102,0.13999999999999999,1.3725490196078431
