matrix,n,density_pct,A_nnz,A_nnz_actual,max_row_nnz,avg_row_nnz,skew,C_nnz_flop,merge3_ms,hash_ms,ratio,hash_wins
bcsstk23,3134,0.4919,48312,45178.0,31,14,2.1504714684138295,744750,0.249,0.25799999999999995,1.0361445783132528,0
bcsstk24,3562,1.2884,163472,159910.0,57,44,1.269676693139891,7502272,0.534,0.29800000000000004,0.5580524344569289,1
bcsstk25,15439,0.1123,267680,252241.0,59,16,3.611232908210798,4641011,0.93,0.4200000000000001,0.45161290322580655,1
bcsstk26,1922,0.8732,32258,30336.0,33,15,2.0907832278481013,541404,0.168,0.21200000000000002,1.2619047619047619,0
bcsstk27,1224,3.828,57350,56126.0,54,45,1.1776360332109896,2687109,0.338,0.355,1.0502958579881656,0
bcsstk28,4410,1.1489,223434,219024.0,94,49,1.8926692965154504,11320352,0.811,0.389,0.4796547472256473,1
bcsstk29,13992,0.3236,633480,619488.0,71,44,1.6036339686967302,28680453,1.749,0.699,0.3996569468267581,1
bcsstk30,28924,0.2477,2072416,2043492.0,219,70,3.0997703930331024,148489423,15.697,2.4939999999999993,0.15888386315856529,1
bcsstk31,35588,0.0961,1217004,1181416.0,189,33,5.693279928492588,41617925,4.109,1.1919999999999997,0.2900949136042832,1
bcsstk32,44609,0.1035,2059310,2014701.0,216,45,4.782617371014359,95065069,6.856,1.7649999999999997,0.25743873978996495,1
bcsstk33,8738,0.7867,600642,591904.0,141,67,2.0815165972860465,41287572,3.662,0.8079999999999999,0.2206444565811032,1
bcsstm01,48,4.1667,96,48.0,1,1,1.0,192,0.076,0.13599999999999998,1.789473684210526,0
bcsstm02,66,3.0303,132,66.0,1,1,1.0,264,0.102,0.16199999999999998,1.588235294117647,0
bcsstm03,112,1.7857,224,112.0,1,1,1.0,448,0.085,0.148,1.741176470588235,0
bcsstm04,132,1.5152,264,132.0,1,1,1.0,528,0.082,0.13799999999999998,1.6829268292682924,0
bcsstm05,153,1.3072,306,153.0,1,1,1.0,612,0.104,0.145,1.3942307692307692,0
bcsstm06,420,0.4762,840,420.0,1,1,1.0,1680,0.081,0.146,1.802469135802469,0
bcsstm07,420,4.3492,7672,7252.0,26,17,1.505791505791506,140141,0.127,0.19199999999999998,1.511811023622047,0
bcsstm08,1074,0.1862,2148,1074.0,1,1,1.0,4296,0.086,0.16399999999999998,1.9069767441860463,0
bcsstm09,1083,0.1847,2166,1083.0,1,1,1.0,4332,0.085,0.153,1.7999999999999998,0
bcsstm10,1086,1.9652,23178,22092.0,27,20,1.3272677892449756,494677,0.164,0.18100000000000002,1.103658536585366,0
bcsstm11,1473,0.1358,2946,1473.0,1,1,1.0,5892,0.084,0.177,2.1071428571428568,0
bcsstm12,1473,0.9739,21132,19659.0,22,13,1.6484053105447887,303164,0.15,0.19300000000000003,1.2866666666666668,0
bcsstm13,2003,0.5969,23946,21943.0,70,10,6.389737045982773,286276,0.334,0.30699999999999994,0.9191616766467063,1
bcsstm19,817,0.2448,1634,817.0,1,1,1.0,3268,0.09,0.148,1.6444444444444444,0
bcsstm20,485,0.4124,970,485.0,1,1,1.0,1940,0.103,0.147,1.4271844660194175,0
bcsstm21,3600,0.0556,7200,3600.0,1,1,1.0,14400,0.1,0.18999999999999997,1.8999999999999997,0
bcsstm22,138,1.4493,276,138.0,1,1,1.0,552,0.087,0.148,1.7011494252873565,0
bcsstm23,3134,0.0638,6268,3134.0,1,1,1.0,12536,0.105,0.16799999999999998,1.5999999999999999,0
