Refresh 仅 'Auto' 列 × 337 阵(DENSE_TIMEOUT=600s)→ compare/ocean337/methods_cmp_clean.csv.csv

  Cube_Coup_dt0    2164760   552667840   134.682   342.803    2.55×
  dielFilterV3clx   420408   247299354    74.297   128.390    1.73×
  Stanford_Berkeley  683446    78130972   203.790   331.800    1.63×
  lowThrust_4        13562    28327028     4.730     6.929    1.46×
  bloweybq           10001   100020001     7.842    11.282    1.44×
  kkt_power        2063494    93265642    19.175    27.323    1.42×
  dielFilterV3real 1102824   688649400   206.522   291.303    1.41×
  web-Google        916428    29710164     9.392    12.476    1.33×
  inline_1          503712   253084638    72.640    89.187    1.23×
  hangGlider_3       10260    83182632     8.499    10.313    1.21×
  ML_Laplace        377002    95882884    32.148    38.987    1.21×
  nlpkkt80         1062400   154663144    24.760    29.021    1.17×
  CurlCurl_4       2380515   133384865    15.900    18.477    1.16×
  ... 另有 22 个

=== Auto vs bhSparse:赢 316 / 输 1,几何均值(Auto/bhSparse) 0.236× ===
  name                   n       C_nnz  bhSparse      Auto    ratio
  Cube_Coup_dt0    2164760   552667840   278.281   342.803    1.23×

=== Auto vs dense:赢 138 / 输 0,几何均值(Auto/dense) 0.002× ===
  name                   n       C_nnz     dense      Auto    ratio

=== Auto vs cuBLAS:赢 138 / 输 0,几何均值(Auto/cuBLAS) 0.008× ===
  name                   n       C_nnz    cuBLAS      Auto    ratio
