matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
gupta2,62064,Y,0.056,DNF,98.077,hash,100.417,DNF,151.012,DNF,DNF(big),DNF(big),601205878
gupta3,16783,Y,1.658,DNF,151.629,hash,223.242,1581.527,425.668,DNF,1111.42,299.118,270864545
gyro,17361,Y,0.1723,5.2,2.411,hash,1.639,10.461,3.38,6.375,1215.96,313.86,5777919
gyro_k,17361,Y,0.1723,5.098,2.386,hash,1.64,2.344,3.38,6.336,1217.39,313.913,5777919
halfb,224617,Y,0.0125,459.876,10.387,hash,7.484,11.68,12.837,24.493,DNF(big),DNF(big),38939969
hangGlider_3,10260,Y,0.0467,13.232,9.78,hash,4.051,186.856,8.499,74.602,255.595,69.395,83182632
hangGlider_4,15561,Y,0.0327,29.887,7.191,hash,9.308,646.624,18.493,177.065,876.34,234.284,191342279
hangGlider_5,16011,Y,0.032,32.446,7.422,hash,7.506,1052.202,20.556,185.121,955.454,257.305,202569269
hood,220542,Y,0.0113,357.769,8.895,hash,6.431,9.571,11.453,17.12,DNF(big),DNF(big),34242180
hugebubbles-00000,18318143,Y,0.0,DNF,28.828,hash,11.068,9.906,37.093,327.488,DNF(big),DNF(big),113009849
hugebubbles-00010,19458087,Y,0.0,DNF,36.886,hash,14.482,12.75,34.062,509.597,DNF(big),DNF(big),121526577
hugebubbles-00020,21198119,Y,0.0,DNF,39.822,hash,15.538,13.552,45.694,392.209,DNF(big),DNF(big),132690161
hugetrace-00010,12057441,Y,0.0,DNF,19.734,hash,7.317,7.248,24.612,221.349,DNF(big),DNF(big),74977771
hugetrace-00020,16002413,Y,0.0,DNF,27.53,hash,10.242,9.142,33.299,291.317,DNF(big),DNF(big),99652167
hugetric-00010,6592765,Y,0.0,5.104,12.102,hash,4.505,4.596,14.491,177.781,DNF(big),DNF(big),41276239
hugetric-00020,7122792,Y,0.0,5.449,13.043,hash,4.899,4.993,15.706,132.266,DNF(big),DNF(big),44609736
iChem_Jacobian,274087,N,0.0055,8.922,3.169,hash,2.09,3.664,4.122,14.329,DNF(big),DNF(big),18823983
in-2004,1382908,N,0.0009,DNF,97.61,hash,32.095,75.438,874.464,317.818,DNF(big),DNF(big),213255458
inline_1,503712,Y,0.0074,DNF,89.462,hash,47.848,69.079,72.64,175.333,DNF(big),DNF(big),253084638
invextr1_new,30412,N,0.194,10.644,4.07,hash,2.651,3.824,4.517,8.382,6457.53,1652.73,10570908
kim2,456976,N,0.0054,35.595,6.517,hash,5.1,5.319,8.562,25.486,DNF(big),DNF(big),36640356
kkt_power,2063494,Y,0.0002,26.296,27.395,hash,9.95,10.147,19.175,81.583,DNF(big),DNF(big),93265642
laminar_duct3D,67173,N,0.0849,16.005,4.968,hash,5.365,4.566,5.915,11.303,DNF(big),DNF(big),18934077
largebasis,440020,N,0.0029,3.906,3.51,hash,2.225,3.627,3.962,15.413,DNF(big),DNF(big),17040280
ldoor,952203,Y,0.0026,DNF,35.8,hash,26.299,36.833,42.845,83.323,DNF(big),DNF(big),145422935
li,22695,N,0.2622,6.54,3.516,hash,2.072,3.414,3.416,6.301,2688.91,708.181,8548665
lowThrust_10,18260,Y,0.0348,15.118,5.268,hash,4.124,96.223,6.213,87.601,1406.03,355.4,51144876
lowThrust_11,18368,Y,0.0347,15.767,5.272,hash,4.245,96.09,6.415,88.73,1411.74,334.071,51750248
lowThrust_12,18458,Y,0.0345,15.502,5.396,hash,3.584,102.144,8.56,89.23,1450.18,373.621,52253242
lowThrust_13,18476,Y,0.0344,16.062,5.402,hash,3.511,99.817,8.664,88.922,1440.5,366.369,52354998
lowThrust_4,13562,Y,0.0458,7.996,6.911,hash,2.691,40.23,4.73,46.888,572.845,150.665,28327028
lowThrust_5,16262,Y,0.0392,11.84,4.452,hash,3.585,67.606,5.612,62.544,997.073,260.099,40638712
lowThrust_6,16928,Y,0.0378,12.575,4.749,hash,3.186,74.928,6.25,65.509,1111.17,263.615,44013134
lowThrust_7,17378,Y,0.0366,13.258,4.81,hash,3.945,81.531,6.929,68.668,1210.27,311.838,46358098
lowThrust_8,17702,Y,0.0361,13.755,5.036,hash,3.532,87.533,5.717,84.551,1280.13,329.823,48095374
lowThrust_9,18044,Y,0.0353,14.611,5.225,hash,3.657,92.326,7.705,86.468,1346.7,341.446,49951688
m14b,214765,Y,0.0036,8.0,2.791,hash,1.842,3.024,4.023,12.231,DNF(big),DNF(big),16384417
m_t1,97578,Y,0.0517,688.911,15.975,hash,9.135,13.437,15.604,30.404,DNF(big),DNF(big),36533142
mixtank_new,29957,N,0.2223,12.263,4.289,hash,2.811,5.082,4.711,8.984,6169.23,1620.34,11989523
mono_500Hz,169410,N,0.0175,24.724,8.04,hash,5.618,7.216,8.946,23.66,DNF(big),DNF(big),41377964
mouse_gene,45101,Y,0.7132,DNF,598.911,hash,1866.701,DNF,2889.511,DNF,20916.9,5523.96,482594045
msc10848,10848,Y,0.5271,8.895,3.429,hash,2.12,3.911,5.018,10.097,294.932,72.023,6185646
msc23052,23052,Y,0.1108,5.026,1.558,hash,1.109,1.924,2.287,3.228,2818.74,712.1,3646256
msdoor,415863,Y,0.006,668.251,16.055,hash,11.809,16.801,19.699,30.833,DNF(big),DNF(big),62822459
mult_dcop_01,25187,N,0.0305,210.42,19.581,hash,14.731,DNF,28.153,DNF,3698.13,986.85,518559249
mult_dcop_02,25187,N,0.0305,152.955,19.535,hash,14.445,DNF,28.289,DNF,3692.21,986.85,518559249
mult_dcop_03,25187,N,0.0305,306.068,20.105,hash,14.376,DNF,27.868,DNF,3697.22,986.374,518559199
nasasrb,54870,Y,0.0454,10.042,2.811,hash,1.851,3.409,3.452,7.009,DNF(big),DNF(big),8334386
nd12k,36000,Y,0.55,DNF,70.762,hash,33.715,102.742,86.885,223.931,10584.0,2457.81,90906894
nd24k,72000,Y,0.2777,DNF,150.608,hash,80.041,211.868,179.008,457.253,DNF(big),DNF(big),189190604
nd3k,9000,Y,2.0301,858.384,11.992,hash,7.109,16.98,18.654,49.484,171.698,45.364,18491738
nd6k,18000,Y,1.0672,DNF,29.29,hash,14.732,45.507,40.732,107.429,1335.1,319.725,42198384
nemeth01,9506,Y,0.4064,3.175,0.587,hash,0.747,1.893,1.763,2.245,201.563,54.884,1721872
nemeth18,9506,Y,0.3899,2.757,0.551,hash,0.699,1.8,1.44,2.073,201.577,54.824,1465122
nemeth19,9506,Y,0.458,3.399,0.637,hash,0.801,1.914,1.964,2.46,201.724,54.966,1784266
nemeth20,9506,Y,0.543,4.213,1.051,hash,0.977,1.769,2.01,2.88,202.043,54.938,2172140
nemeth21,9506,Y,0.6547,5.427,1.87,hash,1.172,1.858,2.623,4.525,202.275,55.057,2580092
nemeth22,9506,Y,0.7571,8.466,1.972,hash,1.332,2.981,3.06,5.795,202.045,55.019,3059696
nemeth23,9506,Y,0.839,10.39,2.33,hash,1.464,2.633,3.536,6.704,202.228,55.002,3441280
nemeth24,9506,Y,0.8389,10.489,2.332,hash,1.461,2.939,3.543,6.678,248.6,55.094,3486190
nemeth25,9506,Y,0.8417,10.574,2.344,hash,1.463,2.527,3.538,6.73,202.253,55.078,3486190
nemeth26,9506,Y,0.8417,10.522,2.342,hash,1.466,2.989,3.557,6.74,202.045,54.982,3486190
net100,29920,Y,0.1152,24.178,9.705,hash,8.765,202.958,19.867,84.343,6093.55,1478.85,121212652
net125,36720,Y,0.0969,35.776,13.663,hash,12.089,334.918,27.323,128.668,11242.0,2646.2,175086502
net150,43520,Y,0.0835,218.665,18.424,hash,17.214,525.092,43.098,202.742,18698.3,4323.95,238012852
net50,16320,Y,0.1805,8.923,4.683,hash,3.822,29.646,14.406,25.762,991.346,235.484,40622452
net75,23120,Y,0.1415,15.526,6.676,hash,5.193,92.226,19.769,53.082,2819.91,670.142,76391302
nlpkkt120,3542400,Y,0.0004,DNF,70.857,hash,55.734,57.687,80.36,216.776,DNF(big),DNF(big),523114664
nlpkkt80,1062400,Y,0.0013,452.757,29.042,hash,17.109,17.782,24.76,66.824,DNF(big),DNF(big),154663144
