matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
bcsstk30,28924,Y,0.1239,8.907,3.812,hash,2.329,4.63,4.539,9.182,5513.92,1412.86,8946070
bcsstk35,30237,Y,0.081,6.42,1.916,hash,1.339,2.238,2.763,6.028,6337.58,1665.19,4580799
bcsstk36,23052,Y,0.1097,5.159,1.813,hash,1.246,1.995,2.317,3.67,2820.19,713.427,3634868
bcsstk39,46772,Y,0.0488,8.338,2.394,hash,1.503,3.326,2.45,4.341,23411.1,5957.49,5890924
bloweya,30004,Y,0.0089,16.121,28.551,hash,4.656,257.015,8.895,239.946,6191.29,1582.48,100360010
bloweybl,30003,Y,0.0078,15.99,26.342,hash,3.702,254.229,7.732,160.59,6208.47,1625.18,100259987
bloweybq,10001,Y,0.04,15.357,11.247,hash,3.221,245.583,7.842,73.265,237.964,64.796,100020001
bmw3_2,227362,Y,0.0111,383.055,10.053,hash,6.996,10.838,12.466,28.643,DNF(big),DNF(big),36053036
bmw7st_1,141347,Y,0.0187,26.931,7.048,hash,4.923,6.983,8.868,20.065,DNF(big),DNF(big),23574259
bmwcra_1,148770,Y,0.0244,518.71,15.482,hash,9.951,14.538,15.544,40.438,DNF(big),DNF(big),49683708
bone010,986703,Y,0.0037,DNF,81.898,hash,61.221,88.565,91.431,207.014,DNF(big),DNF(big),315860373
boneS01,127224,Y,0.0211,26.012,7.077,hash,4.814,8.528,8.803,17.139,DNF(big),DNF(big),25515702
boneS10,914898,Y,0.0034,DNF,56.157,hash,40.7,67.423,67.641,147.278,DNF(big),DNF(big),223561566
brainpc2,27607,Y,0.0127,202.283,34.031,hash,9.158,876.208,14.331,2144.61,4849.22,1275.28,190743619
bundle1,10581,Y,0.349,306.129,6.211,hash,4.381,19.926,14.205,33.479,281.896,76.869,24072923
c-43,11125,Y,0.0545,10.128,5.407,hash,1.856,6.332,8.153,27.801,337.573,87.518,10157553
c-45,13206,Y,0.0538,15.616,4.326,hash,2.644,8.908,10.48,29.429,597.831,140.246,16018374
c-53,30235,Y,0.022,31.352,16.799,hash,5.331,52.338,17.522,88.513,6340.42,1677.75,43353305
c-57,37833,Y,0.0155,365.574,39.13,hash,14.926,538.25,22.124,521.6,12423.3,3231.18,177766591
c-58,37595,Y,0.0209,9.33,15.089,hash,5.673,59.214,15.523,92.254,12179.4,3173.31,40461781
c-62,41731,Y,0.0173,8.97,15.534,hash,5.218,52.876,11.868,95.345,16620.6,4352.35,38084477
c-62ghs,41731,Y,0.0173,8.099,15.5,hash,5.289,51.361,12.075,96.392,16614.5,4347.91,38084477
c-64,51035,Y,0.0148,DNF,56.064,hash,18.523,379.072,36.784,329.738,DNF(big),DNF(big),155006041
c-64b,51035,Y,0.0148,DNF,56.04,hash,18.62,371.657,36.389,326.809,DNF(big),DNF(big),155006041
c-66,49989,Y,0.011,9.534,15.11,hash,4.622,52.635,12.839,99.823,28570.0,7445.94,41844075
c-66b,49989,Y,0.011,10.441,15.151,hash,4.677,50.459,12.731,103.166,28578.3,7450.33,41844075
c-67,57975,Y,0.0088,16.385,17.298,hash,4.292,32.095,19.662,82.59,DNF(big),DNF(big),41530117
c-67b,57975,Y,0.0088,16.395,17.186,hash,4.283,32.29,19.648,82.508,DNF(big),DNF(big),41530117
c-71,76638,Y,0.008,11.109,17.234,hash,8.368,105.068,14.59,158.112,DNF(big),DNF(big),52538716
c-73,169422,Y,0.0025,DNF,,,75.501,DNF,120.474,DNF,DNF(big),DNF(big),
c-73b,169422,Y,0.0025,DNF,,,77.098,DNF,120.305,DNF,DNF(big),DNF(big),
c-big,345241,Y,0.0011,242.664,577.913,hash,55.842,DNF,67.461,DNF,DNF(big),DNF(big),447991461
cage13,445315,N,0.0038,20.029,10.039,hash,4.71,7.466,9.957,32.845,DNF(big),DNF(big),60593139
cage14,1505785,N,0.0012,215.524,38.812,hash,18.434,25.605,35.306,114.164,DNF(big),DNF(big),236999813
cage15,5154859,N,0.0004,DNF,,,76.234,96.434,136.596,422.674,DNF(big),DNF(big),
cant,62451,Y,0.0522,14.595,4.617,hash,3.936,5.338,5.756,11.242,DNF(big),DNF(big),17440029
case39,40216,Y,0.0325,DNF,89.969,hash,35.6,DNF,61.408,DNF,14893.1,3738.06,404705284
case9,14454,Y,0.0363,25.91,8.815,hash,3.599,99.991,7.843,87.125,700.565,182.706,52372050
cfd2,123440,Y,0.0105,10.936,2.807,hash,1.419,10.831,3.166,8.236,DNF(big),DNF(big),13418644
circuit_4,80209,N,0.0048,14.965,30.179,hash,9.615,117.171,30.852,170.284,DNF(big),DNF(big),87091024
cnr-2000,325557,N,0.003,DNF,12.617,hash,3.613,9.231,10.796,50.972,DNF(big),DNF(big),34174066
conf5_4-8x8-05,49152,N,0.0793,8.326,2.148,hash,1.353,3.325,2.636,4.006,26883.5,6163.94,10911744
conf5_4-8x8-10,49152,N,0.0793,8.324,2.14,hash,1.353,2.689,2.658,4.014,26869.3,6164.66,10911744
conf5_4-8x8-15,49152,N,0.0793,8.392,2.136,hash,1.356,2.939,2.648,3.977,26899.3,6169.18,10911744
