matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
pkustk11,87804,Y,0.0344,20.473,6.769,hash,4.491,7.606,7.88,16.589,DNF(big),DNF(big),21435768
pkustk12,94653,Y,0.0425,DNF,182.399,hash,60.427,686.313,202.463,DNF,DNF(big),DNF(big),474804911
pkustk13,94893,Y,0.0373,351.011,14.826,hash,7.805,11.175,12.433,28.528,DNF(big),DNF(big),39507999
pkustk14,151926,Y,0.0325,1269.742,174.416,merge3(回退),15.736,26.26,29.88,64.266,DNF(big),DNF(big),72584244
pli,22695,Y,0.1333,7.0,3.326,hash,2.178,5.162,3.531,6.811,2689.34,708.378,8548665
poisson3Db,85623,N,0.0324,11.22,4.123,hash,2.468,3.955,5.23,14.275,DNF(big),DNF(big),21855903
pre2,659033,N,0.0014,63.207,,,12.978,43.87,52.497,116.105,DNF(big),DNF(big),
pwtk,217918,Y,0.0125,399.327,8.396,hash,6.904,9.091,10.944,25.261,DNF(big),DNF(big),32772236
raefsky3,21200,N,0.3312,5.693,1.137,hash,1.31,3.351,2.391,3.762,2172.97,516.704,4053376
raefsky4,19779,Y,0.1723,6.246,1.907,hash,1.711,3.017,2.952,6.605,1786.47,467.357,5342569
rajat16,94294,N,0.0072,DNF,,,47.301,DNF,60.819,DNF,DNF(big),DNF(big),
rajat17,94294,N,0.0072,DNF,,,47.509,DNF,59.589,DNF,DNF(big),DNF(big),
rajat18,94294,N,0.0055,DNF,,,42.544,DNF,55.138,DNF,DNF(big),DNF(big),
rajat20,86916,N,0.008,DNF,,,36.845,DNF,56.409,DNF,DNF(big),DNF(big),
rajat25,87190,N,0.008,DNF,,,37.662,DNF,56.493,DNF,DNF(big),DNF(big),
rajat28,87190,N,0.008,DNF,,,37.484,DNF,55.919,DNF,DNF(big),DNF(big),
rajat31,4690002,N,0.0001,DNF,42.073,hash,6.244,6.381,32.613,144.309,DNF(big),DNF(big),53118754
ramage02,16830,Y,0.5089,342.411,34.933,merge3(回退),3.899,8.352,9.398,18.502,1095.94,282.451,14592198
rgg_n_2_19_s0,524288,Y,0.0012,6.454,7.049,hash,2.368,4.299,6.619,27.315,DNF(big),DNF(big),19604004
rgg_n_2_20_s0,1048576,Y,0.0006,14.198,13.839,hash,4.623,8.213,12.472,53.906,DNF(big),DNF(big),41709507
rgg_n_2_21_s0,2097152,Y,0.0003,162.629,27.767,hash,9.675,16.226,25.511,111.221,DNF(big),DNF(big),88491346
rgg_n_2_22_s0,4194304,Y,0.0002,518.805,55.872,hash,20.471,31.077,50.362,227.063,DNF(big),DNF(big),187016507
rma10,46835,N,0.1082,9.863,2.76,hash,2.063,4.442,4.027,7.747,23525.9,6127.49,7900917
road_central,14081816,Y,0.0,DNF,132.607,hash,8.895,9.227,40.29,379.882,DNF(big),DNF(big),69990710
road_usa,23947347,Y,0.0,DNF,,,11.946,DNF,65.096,609.963,DNF(big),DNF(big),
s3dkq4m2,90449,Y,0.03,16.724,4.604,hash,2.766,4.12,4.923,9.056,DNF(big),DNF(big),13282553
s3dkt3m2,90449,Y,0.0235,14.908,2.686,hash,2.217,4.04,3.492,7.507,DNF(big),DNF(big),10115975
ship_001,34920,Y,0.1919,468.585,64.18,merge3(回退),5.841,11.676,12.77,26.257,9724.56,2424.62,25600538
ship_003,121728,Y,0.0277,369.949,9.16,hash,6.598,10.419,11.233,24.525,DNF(big),DNF(big),32775938
shipsec1,140874,Y,0.02,122.644,6.882,hash,5.083,8.887,8.707,19.18,DNF(big),DNF(big),24086412
shipsec5,179860,Y,0.0159,379.906,8.861,hash,6.495,11.997,11.379,22.94,DNF(big),DNF(big),32339160
shipsec8,114919,Y,0.0256,24.358,6.319,hash,4.694,7.627,8.29,16.37,DNF(big),DNF(big),22723223
sinc18,16428,N,0.3608,9.975,15.917,hash,2.004,20.349,20.408,29.34,1023.03,260.498,46414219
sme3Da,12504,N,0.5596,6.722,3.854,hash,1.852,3.727,3.749,7.29,449.693,113.056,5837256
sme3Db,29067,N,0.2463,14.126,27.22,merge3(回退),3.551,6.408,6.86,14.905,5614.95,1478.4,15121755
sme3Dc,42930,N,0.1708,22.37,41.284,merge3(回退),5.266,8.718,10.233,19.239,18120.3,4696.66,22744224
soc-Slashdot0811,77360,N,0.0151,17.431,376.069,merge3(回退),8.28,99.312,24.22,180.929,DNF(big),DNF(big),78851659
soc-Slashdot0902,82168,N,0.014,18.065,395.258,merge3(回退),8.597,107.694,25.803,212.336,DNF(big),DNF(big),81362487
sparsine,50000,Y,0.032,7.544,7.727,merge3(回退),2.05,3.567,4.498,11.706,28393.7,7215.17,18662060
srb1,54924,Y,0.05,11.247,2.603,hash,2.029,3.573,3.675,7.857,DNF(big),DNF(big),8388936
std1_Jac2,21982,N,0.2584,9.43,36.641,merge3(回退),1.871,5.907,8.14,26.977,2436.42,630.271,11420032
std1_Jac3,21982,N,0.3013,14.015,47.234,merge3(回退),2.306,8.39,9.489,31.203,2438.22,626.872,13447461
std1_Jac3_db,21982,N,0.1101,4.148,2.091,hash,0.922,2.294,2.872,6.845,2436.31,628.304,3040112
t3dh,79171,Y,0.0353,17.836,6.265,hash,4.75,6.778,6.961,13.409,DNF(big),DNF(big),25021537
t3dh_a,79171,Y,0.0353,18.71,6.24,hash,4.767,6.937,6.706,14.424,DNF(big),DNF(big),25021537
t3dh_e,79171,Y,0.0353,18.97,6.26,hash,4.733,6.44,6.812,13.311,DNF(big),DNF(big),25021537
thermal2,1228045,Y,0.0003,4.143,12.477,hash,2.091,6.44,5.986,42.14,DNF(big),DNF(big),24018057
thread,29736,Y,0.2544,481.306,55.097,merge3(回退),6.077,12.704,12.677,26.416,5968.2,1497.93,24678162
torso1,116158,N,0.0631,DNF,463.542,hash,88.411,236.079,433.422,298.866,DNF(big),DNF(big),19600778
torso3,259156,N,0.0066,11.029,3.765,hash,1.955,3.477,4.244,16.807,DNF(big),DNF(big),21217298
trdheim,22098,Y,0.2004,8.457,2.739,hash,2.06,3.234,3.919,6.533,2494.42,638.313,6746796
troll,213453,Y,0.0134,447.526,11.751,hash,8.079,12.153,13.483,30.783,DNF(big),DNF(big),41778513
tsyl201,20685,Y,0.2893,16.529,4.477,hash,4.193,5.488,5.253,8.685,2047.3,530.692,8321013
vanbody,47072,Y,0.0538,11.091,2.85,hash,2.097,3.229,4.062,7.905,23638.1,5444.8,8053562
vsp_bcsstk30_500sep_10in_1Kout,58348,Y,0.0592,22.092,7.959,hash,5.16,8.671,11.63,16.904,DNF(big),DNF(big),18175907
vsp_befref_fxm_2_4_air02,14109,Y,0.0493,11.915,9.429,hash,2.723,55.161,5.598,36.748,655.165,173.91,38269513
