name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcsstk15,Highly sparse,colw,3948,117816,0.16399999999998727,0.10199999999997544,0.023000000000024556,0.038000000000010914,0.16999999999995907,,,,0.6980000000000928,0.19700000000000273,0.34199999999998454,,0.10199999999997544,0.4420000000000073
bcsstk15,Highly sparse,inner,3948,117816,0.17300000000000182,0.10099999999999909,0.023000000000024556,0.03599999999994452,0.17200000000002547,,,,0.7050000000000409,0.19799999999997908,0.34400000000005093,0.2239999999999327,0.10199999999997544,0.4370000000000118
bcsstm22,Highly sparse,cu,138,138,0.09199999999998454,,,,,0.07200000000000273,0.1550000000000864,0.05299999999999727,,,,,0.019000000000005457,0.02400000000000091
bcsstm22,Highly sparse,gust,138,138,0.07800000000008822,,0.017999999999915417,0.03700000000003456,0.018000000000029104,,,,0.04399999999998272,0.03499999999996817,0.05200000000002092,,0.018000000000029104,0.008000000000038199
bcsstm22,Highly sparse,outer,138,138,0.08600000000001273,0.05899999999996908,0.018000000000029104,0.03300000000001546,0.019000000000005457,,,,0.03999999999996362,0.033999999999991815,0.055000000000063665,,0.01599999999996271,0.009000000000014552
bcsstm22,Highly sparse,colw,138,138,0.07600000000002183,0.057999999999992724,0.016999999999939064,0.03300000000001546,0.01599999999996271,,,,0.04000000000007731,0.03300000000001546,0.04699999999991178,,0.016000000000076398,0.009000000000014552
bcsstm22,Highly sparse,inner,138,138,0.07299999999997908,0.06600000000003092,0.01700000000005275,0.03300000000001546,0.01599999999996271,,,,0.04099999999993997,0.030000000000086402,0.04699999999991178,0.020000000000095497,0.016999999999939064,0.008000000000038199
bp_1600,Highly sparse,cu,822,4841,0.08600000000001273,,,,,0.06999999999993634,0.18799999999998818,0.055000000000063665,,,,,0.018000000000029104,0.03799999999989723
bp_1600,Highly sparse,gust,822,4841,0.08199999999999363,,0.0340000000001055,0.036999999999920874,0.05299999999999727,,,,0.1410000000000764,0.03999999999996362,0.057999999999992724,,0.01700000000005275,0.023999999999887223
bp_1600,Highly sparse,outer,822,4841,0.07999999999992724,0.15600000000006276,0.017999999999915417,0.033999999999991815,0.04900000000009186,,,,0.1229999999999336,0.03700000000003456,0.05999999999994543,,0.01700000000005275,0.03899999999998727
bp_1600,Highly sparse,colw,822,4841,0.08199999999999363,0.15499999999997272,0.01999999999998181,0.03300000000001546,0.01999999999998181,,,,0.1209999999999809,0.035000000000081855,0.049999999999954525,,0.016999999999939064,0.02400000000000091
bp_1600,Highly sparse,inner,822,4841,0.07699999999999818,0.1510000000000673,0.03599999999994452,0.03300000000001546,0.04899999999997817,,,,0.1209999999999809,0.035000000000081855,0.049999999999954525,0.13400000000001455,0.016999999999939064,0.02400000000000091
bp_1400,Highly sparse,cu,822,4790,0.08699999999998909,,,,,0.07000000000005002,0.18100000000004002,0.05599999999992633,,,,,0.01700000000005275,0.038000000000010914
bp_1400,Highly sparse,gust,822,4790,0.09300000000007458,,0.032999999999901775,0.038000000000010914,0.05200000000002092,,,,0.12599999999997635,0.04000000000007731,0.05599999999992633,,0.01700000000005275,0.023000000000024556
bp_1400,Highly sparse,outer,822,4790,0.07799999999997453,0.15699999999992542,0.018000000000029104,0.03300000000001546,0.051000000000044565,,,,0.1269999999999527,0.04499999999995907,0.05200000000002092,,0.01700000000005275,0.03700000000003456
bp_1400,Highly sparse,colw,822,4790,0.08000000000004093,0.15800000000001546,0.01999999999998181,0.03300000000001546,0.019000000000005457,,,,0.1209999999999809,0.033999999999991815,0.051000000000044565,,0.016999999999939064,0.022000000000048203
bp_1400,Highly sparse,inner,822,4790,0.08199999999999363,0.15599999999994907,0.028999999999996362,0.03200000000003911,0.049999999999954525,,,,0.1209999999999809,0.035000000000081855,0.05700000000001637,0.1349999999999909,0.016999999999939064,0.023000000000024556
bp_1200,Highly sparse,cu,822,4726,0.08799999999996544,,,,,0.07100000000002638,0.19500000000005002,0.05899999999996908,,,,,0.019000000000005457,0.03999999999996362
bp_1200,Highly sparse,gust,822,4726,0.08399999999994634,,0.031000000000062755,0.03999999999996362,0.053999999999973625,,,,0.125,0.04200000000003001,0.057999999999992724,,0.018000000000029104,0.023000000000024556
