name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,merge,compact,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcsstk03,Mildly sparse,gust,112,640,0.057999999999992724,,0.01599999999996271,0.033999999999991815,0.018000000000029104,,,,,,0.10500000000001819,0.03499999999996817,0.04399999999998272,,0.014000000000010004,0.008000000000038199
bcsstk03,Mildly sparse,merge,112,640,0.05899999999996908,,0.01599999999996271,0.03300000000001546,0.020999999999958163,0.02800000000002001,0.020999999999958163,,,,,,0.03200000000003911,,0.014000000000010004,0.010999999999967258
bcsstk03,Mildly sparse,mrg2,112,640,0.05700000000001637,,0.014999999999986358,0.03199999999992542,,0.026000000000067303,0.01999999999998181,,,,,,0.02800000000002001,,0.013000000000033651,0.008999999999900865
bcsstk06,Mildly sparse,cu,420,7860,0.06600000000003092,,,,,,,0.05299999999999727,0.21899999999993724,0.04800000000000182,,,,,0.014999999999986358,0.08500000000003638
bcsstk06,Mildly sparse,gust,420,7860,0.06299999999998818,,0.018000000000029104,0.03300000000001546,0.027000000000043656,,,,,,0.2299999999999045,0.08600000000001273,0.05400000000008731,,0.014999999999986358,0.01599999999996271
bcsstk06,Mildly sparse,merge,420,7860,0.05999999999994543,,0.01700000000005275,0.03099999999994907,0.07899999999995089,0.3140000000000782,0.022000000000048203,,,,,,0.03499999999996817,,0.012999999999919964,0.016000000000076398
bcsstk06,Mildly sparse,mrg2,420,7860,0.05999999999994543,,0.01700000000005275,0.03099999999994907,,0.07400000000006912,0.021999999999934516,,,,,,0.028999999999996362,,0.014000000000010004,0.01700000000005275
bcsstk07,Mildly sparse,cu,420,7860,0.06300000000010186,,,,,,,0.05199999999990723,0.21199999999998909,0.047000000000025466,,,,,0.014000000000010004,0.08500000000003638
bcsstk07,Mildly sparse,gust,420,7860,0.06099999999992178,,0.01700000000005275,0.03300000000001546,0.025999999999953616,,,,,,0.2259999999999991,0.08199999999999363,0.05200000000002092,,0.014999999999986358,0.013000000000033651
bcsstk07,Mildly sparse,merge,420,7860,0.05999999999994543,,0.016000000000076398,0.03099999999994907,0.08000000000004093,0.3120000000000118,0.01999999999998181,,,,,,0.03599999999994452,,0.013000000000033651,0.014000000000010004
